"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"Assembler","Autos sort\Здесь бинарная сортировка на GASM.txt","0","2021-12-06T15:43:46.5271197Z","2021-12-06T15:43:46.0000000Z","2026-07-14T07:11:26.4491650Z","533536","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","copied","tracked-original-file","projects\Assembler\Autos sort\Здесь бинарная сортировка на GASM.txt"
"Assembler","Autos sort\Комманды для конвертации Си в Ассемблер.txt","456","2021-12-21T00:49:54.9305563Z","2021-12-21T00:50:05.0000000Z","2026-07-14T07:11:26.4580567Z","533536","a47b4a0d2d8cb88d56b2dc15120dd45fc325dc30485ad79360399d9a4d8ad0b8","copied","tracked-original-file","projects\Assembler\Autos sort\Комманды для конвертации Си в Ассемблер.txt"
"Assembler","Autos sort\Backup\data.h","2220","2021-11-28T20:58:28.0000000Z","2021-11-28T20:58:28.0000000Z","2026-07-14T07:11:26.4709469Z","533536","e4b16e7e03ebdf0a7e61f69f66fef491683c1db5f85348b61c7e38dac064a9e2","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\data.h"
"Assembler","Autos sort\Backup\extdata.h","2621","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.4829673Z","533536","0ffa0410ab9a3b99592c0e1203be656bdac14fa66b597f4312ad5d994dbd22a7","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\extdata.h"
"Assembler","Autos sort\Backup\input.c","1592","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.4939707Z","533536","97953cdd6af17d69a853e903459a30dffcb22d9d3a93e3b57ed12089cbae488d","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\input.c"
"Assembler","Autos sort\Backup\inrnd.c","2148","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.5056616Z","533536","95607d66656d83fb48df3500dae9b0c00160519d53cdfc52c69172bc94eae57b","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\inrnd.c"
"Assembler","Autos sort\Backup\main.asm","27340","2021-11-28T22:27:34.0000000Z","2021-11-28T22:27:34.0000000Z","2026-07-14T07:11:26.5168956Z","533536","629fdc1ba4d2b270bc8edfd6215f515168fca8e067c20db84211df903ec1c772","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\main.asm"
"Assembler","Autos sort\Backup\main.c","6086","2021-11-28T22:41:08.0000000Z","2021-11-28T22:41:08.0000000Z","2026-07-14T07:11:26.5286020Z","533536","c7b9e116ef97834a20bd3e5e86d36c2affbad88587bf3a286593daa484c887a5","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\main.c"
"Assembler","Autos sort\Backup\main.o","4240","2021-11-28T22:27:30.0000000Z","2021-11-28T22:27:30.0000000Z","2026-07-14T07:11:26.5413881Z","533536","027f746f882a6e1b4568fd35029a9b1f570bf789d0a8c76041aee891f386bc45","manifest-only","generated-file:.o",""
"Assembler","Autos sort\Backup\makefile","232","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.5433863Z","533536","ecad21360297cb98d6769404cb23f95c11933fc0ea2f027e0e815ab99da3e12a","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\makefile"
"Assembler","Autos sort\Backup\objconv","811936","2021-11-28T21:56:26.0000000Z","2021-11-28T21:56:26.0000000Z","2026-07-14T07:11:26.5552360Z","533536","06ce5f140f41a1e7de54fbc6a3204d9f6122ed9fc86731dd5e3a2c2129870f08","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\objconv"
"Assembler","Autos sort\Backup\out.txt","397","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.5687981Z","533536","f699e0974aa8fbd28c1fb159079f02150124fb5e688060ba5c272c870534af68","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\out.txt"
"Assembler","Autos sort\Backup\output.c","1789","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.5782888Z","533536","057ab0f8cf355a63d89fcd85ccf3ac836281aa5a1d3572f33f139f248d8acd8d","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\output.c"
"Assembler","Autos sort\Backup\perimeter.asm","13806","2021-11-28T22:42:12.0000000Z","2021-11-28T22:42:12.0000000Z","2026-07-14T07:11:26.5882882Z","533536","ffb73d23d288af0689fe305821e8988e6f25cdbabc3cfe8c3a917775fa298e7e","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\perimeter.asm"
"Assembler","Autos sort\Backup\perimeter.lst","25807","2021-11-28T22:42:12.0000000Z","2021-11-28T22:42:12.0000000Z","2026-07-14T07:11:26.5987343Z","533536","e27f7a8663cb9ab0467762c90695af3cccb7bde0f642ed837ecb81c955fb1c40","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\perimeter.lst"
"Assembler","Autos sort\Backup\perimeter.o","4016","2021-11-28T22:42:12.0000000Z","2021-11-28T22:42:12.0000000Z","2026-07-14T07:11:26.6081839Z","533536","eb6ad0ae4fb7e616fb54ddc8d02a7bb564680b7734117ee79dc262da9dec09e5","manifest-only","generated-file:.o",""
"Assembler","Autos sort\Backup\sorts.c","1906","2021-11-28T21:30:28.0000000Z","2021-11-28T21:30:28.0000000Z","2026-07-14T07:11:26.6097807Z","533536","32d0e3142f3ea64c7968037c6f19e35d15425c685231546540622f13f4b9ceed","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\sorts.c"
"Assembler","Autos sort\Backup\sorts.s","4420","2021-11-28T21:30:30.0000000Z","2021-11-28T21:30:30.0000000Z","2026-07-14T07:11:26.6184998Z","533536","0d6222c4442d41c8983bc2c0bceeff0ad07ed66ca3629fa87bddc8c8ec5c1737","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\sorts.s"
"Assembler","Autos sort\Backup\task","28696","2021-11-28T22:42:12.0000000Z","2021-11-28T22:42:12.0000000Z","2026-07-14T07:11:26.6285003Z","533536","9b046e1f3a00f6bfef7b756351689a5e0f54c72f90f985e9765efcc66157c05e","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\task"
"Assembler","Autos sort\Backup\test01.txt","80","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.6389306Z","533536","5339b340bccbe9ffdb3269a2bc093ef749a7cec14f4030f233771224c6bea4fa","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\test01.txt"
"Assembler","Autos sort\data.h","2220","2021-11-28T20:58:28.0000000Z","2021-11-28T20:58:28.0000000Z","2026-07-14T07:11:26.6479591Z","533536","e4b16e7e03ebdf0a7e61f69f66fef491683c1db5f85348b61c7e38dac064a9e2","copied","tracked-original-file","projects\Assembler\Autos sort\data.h"
"Assembler","Autos sort\extdata.h","2621","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.6602807Z","533536","0ffa0410ab9a3b99592c0e1203be656bdac14fa66b597f4312ad5d994dbd22a7","copied","tracked-original-file","projects\Assembler\Autos sort\extdata.h"
"Assembler","Autos sort\input.c","1592","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.6696695Z","533536","97953cdd6af17d69a853e903459a30dffcb22d9d3a93e3b57ed12089cbae488d","copied","tracked-original-file","projects\Assembler\Autos sort\input.c"
"Assembler","Autos sort\inrnd.c","2148","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.6798086Z","533536","95607d66656d83fb48df3500dae9b0c00160519d53cdfc52c69172bc94eae57b","copied","tracked-original-file","projects\Assembler\Autos sort\inrnd.c"
"Assembler","Autos sort\main.asm","27340","2021-11-28T22:27:34.0000000Z","2021-11-28T22:27:34.0000000Z","2026-07-14T07:11:26.6891450Z","533536","629fdc1ba4d2b270bc8edfd6215f515168fca8e067c20db84211df903ec1c772","copied","tracked-original-file","projects\Assembler\Autos sort\main.asm"
"Assembler","Autos sort\main.c","2787","2021-11-28T23:05:54.0000000Z","2021-11-28T23:05:54.0000000Z","2026-07-14T07:11:26.6999272Z","533536","e13b35ae0bd347b92a35bb5e0b07d74e2a69e8ba2b2cdd5ccf97f9d5280dfb2c","copied","tracked-original-file","projects\Assembler\Autos sort\main.c"
"Assembler","Autos sort\main.o","4240","2021-11-28T22:27:30.0000000Z","2021-11-28T22:27:30.0000000Z","2026-07-14T07:11:26.7102642Z","533536","027f746f882a6e1b4568fd35029a9b1f570bf789d0a8c76041aee891f386bc45","manifest-only","generated-file:.o",""
"Assembler","Autos sort\makefile","182","2021-11-28T22:55:08.0000000Z","2021-11-28T22:55:08.0000000Z","2026-07-14T07:11:26.7123894Z","533536","68907c9cd7f840b576aa618152b4f2f1b8395df11577559becf2aa358b8a1e2e","copied","tracked-original-file","projects\Assembler\Autos sort\makefile"
"Assembler","Autos sort\objconv","811936","2021-11-28T21:56:26.0000000Z","2021-11-28T21:56:26.0000000Z","2026-07-14T07:11:26.7220641Z","533536","06ce5f140f41a1e7de54fbc6a3204d9f6122ed9fc86731dd5e3a2c2129870f08","copied","tracked-original-file","projects\Assembler\Autos sort\objconv"
"Assembler","Autos sort\out.txt","397","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.7356317Z","533536","f699e0974aa8fbd28c1fb159079f02150124fb5e688060ba5c272c870534af68","copied","tracked-original-file","projects\Assembler\Autos sort\out.txt"
"Assembler","Autos sort\output.c","1789","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.7445712Z","533536","057ab0f8cf355a63d89fcd85ccf3ac836281aa5a1d3572f33f139f248d8acd8d","copied","tracked-original-file","projects\Assembler\Autos sort\output.c"
"Assembler","Autos sort\perimeter.asm","10255","2021-11-28T23:07:08.0000000Z","2021-11-28T23:07:08.0000000Z","2026-07-14T07:11:26.7546979Z","533536","6922c31e09cb679ae348b779400595ff489996a48b934a259b73770b52e33bcf","copied","tracked-original-file","projects\Assembler\Autos sort\perimeter.asm"
"Assembler","Autos sort\perimeter.lst","17221","2021-11-28T22:54:36.0000000Z","2021-11-28T22:54:36.0000000Z","2026-07-14T07:11:26.7661069Z","533536","9fe8c8a6075746c78ec5c8d6c191056b9cc6bdbaa0f114003d6696312efd88e0","copied","tracked-original-file","projects\Assembler\Autos sort\perimeter.lst"
"Assembler","Autos sort\perimeter.o","2976","2021-11-28T22:54:36.0000000Z","2021-11-28T22:54:36.0000000Z","2026-07-14T07:11:26.7763836Z","533536","d97bf94a64162f2524e908f9c3e8c28cf4980ef0d5c2518ca34483596e80fa8a","manifest-only","generated-file:.o",""
"Assembler","Autos sort\sorts.c","1906","2021-11-28T21:30:28.0000000Z","2021-11-28T21:30:28.0000000Z","2026-07-14T07:11:26.7779941Z","533536","32d0e3142f3ea64c7968037c6f19e35d15425c685231546540622f13f4b9ceed","copied","tracked-original-file","projects\Assembler\Autos sort\sorts.c"
"Assembler","Autos sort\sorts.o","2976","2021-11-28T22:53:34.0000000Z","2021-11-28T22:53:34.0000000Z","2026-07-14T07:11:26.7865454Z","533536","68b402a4b93ff282dec28201c8d820d5a63925c366285303009e85f9749aea0d","manifest-only","generated-file:.o",""
"Assembler","Autos sort\sorts.s","4420","2021-11-28T21:30:30.0000000Z","2021-11-28T21:30:30.0000000Z","2026-07-14T07:11:26.7882199Z","533536","0d6222c4442d41c8983bc2c0bceeff0ad07ed66ca3629fa87bddc8c8ec5c1737","copied","tracked-original-file","projects\Assembler\Autos sort\sorts.s"
"Assembler","Autos sort\task","22624","2021-11-28T23:05:14.0000000Z","2021-11-28T23:05:14.0000000Z","2026-07-14T07:11:26.7967933Z","533536","10f3fd09a7702403b811c5972dbb6c9b3cfa88a45f2c55d4c9147ea1cb4547f4","copied","tracked-original-file","projects\Assembler\Autos sort\task"
"Assembler","Autos sort\test01.txt","80","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.8059918Z","533536","5339b340bccbe9ffdb3269a2bc093ef749a7cec14f4030f233771224c6bea4fa","copied","tracked-original-file","projects\Assembler\Autos sort\test01.txt"
"C","Autos sort\Бинарная сортировка на NASM оболочка на C.txt","0","2021-11-28T23:45:08.3797179Z","2021-11-28T23:45:08.0000000Z","2026-07-14T07:11:38.0746918Z","533536","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","copied","tracked-original-file","projects\C\Autos sort\Бинарная сортировка на NASM оболочка на C.txt"
"C","Autos sort\Backup\data.h","2220","2021-11-28T23:36:09.9801281Z","2021-11-28T20:58:26.0000000Z","2026-07-14T07:11:38.0826946Z","533536","e4b16e7e03ebdf0a7e61f69f66fef491683c1db5f85348b61c7e38dac064a9e2","copied","tracked-original-file","projects\C\Autos sort\Backup\data.h"
"C","Autos sort\Backup\extdata.h","2621","2021-11-28T23:36:10.0063895Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.0917245Z","533536","0ffa0410ab9a3b99592c0e1203be656bdac14fa66b597f4312ad5d994dbd22a7","copied","tracked-original-file","projects\C\Autos sort\Backup\extdata.h"
"C","Autos sort\Backup\input.c","1592","2021-11-28T23:36:10.0346033Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.1006916Z","533536","97953cdd6af17d69a853e903459a30dffcb22d9d3a93e3b57ed12089cbae488d","copied","tracked-original-file","projects\C\Autos sort\Backup\input.c"
"C","Autos sort\Backup\inrnd.c","2148","2021-11-28T23:36:10.0687633Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.1096935Z","533536","95607d66656d83fb48df3500dae9b0c00160519d53cdfc52c69172bc94eae57b","copied","tracked-original-file","projects\C\Autos sort\Backup\inrnd.c"
"C","Autos sort\Backup\main.asm","27340","2021-11-28T23:36:10.1029336Z","2021-11-28T22:27:32.0000000Z","2026-07-14T07:11:38.1196912Z","533536","629fdc1ba4d2b270bc8edfd6215f515168fca8e067c20db84211df903ec1c772","copied","tracked-original-file","projects\C\Autos sort\Backup\main.asm"
"C","Autos sort\Backup\main.c","6086","2021-11-28T23:36:10.1322043Z","2021-11-28T22:41:06.0000000Z","2026-07-14T07:11:38.1286964Z","533536","c7b9e116ef97834a20bd3e5e86d36c2affbad88587bf3a286593daa484c887a5","copied","tracked-original-file","projects\C\Autos sort\Backup\main.c"
"C","Autos sort\Backup\main.o","4240","2021-11-28T23:36:10.1595314Z","2021-11-28T22:27:28.0000000Z","2026-07-14T07:11:38.1376909Z","533536","027f746f882a6e1b4568fd35029a9b1f570bf789d0a8c76041aee891f386bc45","manifest-only","generated-file:.o",""
"C","Autos sort\Backup\makefile","232","2021-11-28T23:36:10.1888121Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.1396955Z","533536","ecad21360297cb98d6769404cb23f95c11933fc0ea2f027e0e815ab99da3e12a","copied","tracked-original-file","projects\C\Autos sort\Backup\makefile"
"C","Autos sort\Backup\objconv","811936","2021-11-28T23:36:10.2112596Z","2021-11-28T21:56:24.0000000Z","2026-07-14T07:11:38.1486902Z","533536","06ce5f140f41a1e7de54fbc6a3204d9f6122ed9fc86731dd5e3a2c2129870f08","copied","tracked-original-file","projects\C\Autos sort\Backup\objconv"
"C","Autos sort\Backup\out.txt","397","2021-11-28T23:36:10.2601206Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.1616918Z","533536","f699e0974aa8fbd28c1fb159079f02150124fb5e688060ba5c272c870534af68","copied","tracked-original-file","projects\C\Autos sort\Backup\out.txt"
"C","Autos sort\Backup\output.c","1789","2021-11-28T23:36:10.3010519Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.1716920Z","533536","057ab0f8cf355a63d89fcd85ccf3ac836281aa5a1d3572f33f139f248d8acd8d","copied","tracked-original-file","projects\C\Autos sort\Backup\output.c"
"C","Autos sort\Backup\perimeter.asm","13806","2021-11-28T23:36:10.3361919Z","2021-11-28T22:42:10.0000000Z","2026-07-14T07:11:38.1796936Z","533536","ffb73d23d288af0689fe305821e8988e6f25cdbabc3cfe8c3a917775fa298e7e","copied","tracked-original-file","projects\C\Autos sort\Backup\perimeter.asm"
"C","Autos sort\Backup\perimeter.lst","25807","2021-11-28T23:36:10.3723237Z","2021-11-28T22:42:11.0000000Z","2026-07-14T07:11:38.1886922Z","533536","e27f7a8663cb9ab0467762c90695af3cccb7bde0f642ed837ecb81c955fb1c40","copied","tracked-original-file","projects\C\Autos sort\Backup\perimeter.lst"
"C","Autos sort\Backup\perimeter.o","4016","2021-11-28T23:36:10.4123198Z","2021-11-28T22:42:11.0000000Z","2026-07-14T07:11:38.1976919Z","533536","eb6ad0ae4fb7e616fb54ddc8d02a7bb564680b7734117ee79dc262da9dec09e5","manifest-only","generated-file:.o",""
"C","Autos sort\Backup\sorts.c","1906","2021-11-28T23:36:10.4471929Z","2021-11-28T21:30:27.0000000Z","2026-07-14T07:11:38.1986934Z","533536","32d0e3142f3ea64c7968037c6f19e35d15425c685231546540622f13f4b9ceed","copied","tracked-original-file","projects\C\Autos sort\Backup\sorts.c"
"C","Autos sort\Backup\sorts.s","4420","2021-11-28T23:36:10.4784044Z","2021-11-28T21:30:29.0000000Z","2026-07-14T07:11:38.2066939Z","533536","0d6222c4442d41c8983bc2c0bceeff0ad07ed66ca3629fa87bddc8c8ec5c1737","copied","tracked-original-file","projects\C\Autos sort\Backup\sorts.s"
"C","Autos sort\Backup\task","28696","2021-11-28T23:36:10.5115877Z","2021-11-28T22:42:11.0000000Z","2026-07-14T07:11:38.2156936Z","533536","9b046e1f3a00f6bfef7b756351689a5e0f54c72f90f985e9765efcc66157c05e","copied","tracked-original-file","projects\C\Autos sort\Backup\task"
"C","Autos sort\Backup\test01.txt","80","2021-11-28T23:36:10.5420793Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.2236923Z","533536","5339b340bccbe9ffdb3269a2bc093ef749a7cec14f4030f233771224c6bea4fa","copied","tracked-original-file","projects\C\Autos sort\Backup\test01.txt"
"C","Autos sort\data.h","2220","2021-11-28T23:36:09.4435726Z","2021-11-28T20:58:26.0000000Z","2026-07-14T07:11:38.2316922Z","533536","e4b16e7e03ebdf0a7e61f69f66fef491683c1db5f85348b61c7e38dac064a9e2","copied","tracked-original-file","projects\C\Autos sort\data.h"
"C","Autos sort\extdata.h","2621","2021-11-28T23:36:09.4689475Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.2406934Z","533536","0ffa0410ab9a3b99592c0e1203be656bdac14fa66b597f4312ad5d994dbd22a7","copied","tracked-original-file","projects\C\Autos sort\extdata.h"
"C","Autos sort\input.c","1592","2021-11-28T23:36:09.4913953Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.2496943Z","533536","97953cdd6af17d69a853e903459a30dffcb22d9d3a93e3b57ed12089cbae488d","copied","tracked-original-file","projects\C\Autos sort\input.c"
"C","Autos sort\inrnd.c","2148","2021-11-28T23:36:09.5138436Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.2586929Z","533536","95607d66656d83fb48df3500dae9b0c00160519d53cdfc52c69172bc94eae57b","copied","tracked-original-file","projects\C\Autos sort\inrnd.c"
"C","Autos sort\main.asm","27340","2021-11-28T23:36:09.7154408Z","2021-11-28T22:27:32.0000000Z","2026-07-14T07:11:38.2666930Z","533536","629fdc1ba4d2b270bc8edfd6215f515168fca8e067c20db84211df903ec1c772","copied","tracked-original-file","projects\C\Autos sort\main.asm"
"C","Autos sort\main.c","2787","2021-11-28T23:36:09.5382429Z","2021-11-28T23:05:53.0000000Z","2026-07-14T07:11:38.2746909Z","533536","e13b35ae0bd347b92a35bb5e0b07d74e2a69e8ba2b2cdd5ccf97f9d5280dfb2c","copied","tracked-original-file","projects\C\Autos sort\main.c"
"C","Autos sort\main.o","4240","2021-11-28T23:36:09.8130070Z","2021-11-28T22:27:28.0000000Z","2026-07-14T07:11:38.2826916Z","533536","027f746f882a6e1b4568fd35029a9b1f570bf789d0a8c76041aee891f386bc45","manifest-only","generated-file:.o",""
"C","Autos sort\makefile","182","2021-11-28T23:36:09.5724308Z","2021-11-28T22:55:07.0000000Z","2026-07-14T07:11:38.2846910Z","533536","68907c9cd7f840b576aa618152b4f2f1b8395df11577559becf2aa358b8a1e2e","copied","tracked-original-file","projects\C\Autos sort\makefile"
"C","Autos sort\objconv","811936","2021-11-28T23:36:09.7417587Z","2021-11-28T21:56:24.0000000Z","2026-07-14T07:11:38.2926970Z","533536","06ce5f140f41a1e7de54fbc6a3204d9f6122ed9fc86731dd5e3a2c2129870f08","copied","tracked-original-file","projects\C\Autos sort\objconv"
"C","Autos sort\out.txt","397","2021-11-28T23:36:09.6007350Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.3052596Z","533536","f699e0974aa8fbd28c1fb159079f02150124fb5e688060ba5c272c870534af68","copied","tracked-original-file","projects\C\Autos sort\out.txt"
"C","Autos sort\output.c","1789","2021-11-28T23:36:09.6256158Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.3131682Z","533536","057ab0f8cf355a63d89fcd85ccf3ac836281aa5a1d3572f33f139f248d8acd8d","copied","tracked-original-file","projects\C\Autos sort\output.c"
"C","Autos sort\perimeter.asm","10255","2021-11-28T23:36:09.8710003Z","2021-11-28T23:07:06.0000000Z","2026-07-14T07:11:38.3211729Z","533536","6922c31e09cb679ae348b779400595ff489996a48b934a259b73770b52e33bcf","copied","tracked-original-file","projects\C\Autos sort\perimeter.asm"
"C","Autos sort\perimeter.lst","17221","2021-11-28T23:36:09.7896128Z","2021-11-28T22:54:34.0000000Z","2026-07-14T07:11:38.3301701Z","533536","9fe8c8a6075746c78ec5c8d6c191056b9cc6bdbaa0f114003d6696312efd88e0","copied","tracked-original-file","projects\C\Autos sort\perimeter.lst"
"C","Autos sort\perimeter.o","2976","2021-11-28T23:36:09.9322125Z","2021-11-28T22:54:34.0000000Z","2026-07-14T07:11:38.3381700Z","533536","d97bf94a64162f2524e908f9c3e8c28cf4980ef0d5c2518ca34483596e80fa8a","manifest-only","generated-file:.o",""
"C","Autos sort\sorts.c","1906","2021-11-28T23:36:09.6724649Z","2021-11-28T21:30:27.0000000Z","2026-07-14T07:11:38.3391689Z","533536","32d0e3142f3ea64c7968037c6f19e35d15425c685231546540622f13f4b9ceed","copied","tracked-original-file","projects\C\Autos sort\sorts.c"
"C","Autos sort\sorts.o","2976","2021-11-28T23:36:09.9012566Z","2021-11-28T22:53:33.0000000Z","2026-07-14T07:11:38.3481692Z","533536","68b402a4b93ff282dec28201c8d820d5a63925c366285303009e85f9749aea0d","manifest-only","generated-file:.o",""
"C","Autos sort\sorts.s","4420","2021-11-28T23:36:09.6939357Z","2021-11-28T21:30:29.0000000Z","2026-07-14T07:11:38.3491696Z","533536","0d6222c4442d41c8983bc2c0bceeff0ad07ed66ca3629fa87bddc8c8ec5c1737","copied","tracked-original-file","projects\C\Autos sort\sorts.s"
"C","Autos sort\task","22624","2021-11-28T23:36:09.8378489Z","2021-11-28T23:05:12.0000000Z","2026-07-14T07:11:38.3591699Z","533536","10f3fd09a7702403b811c5972dbb6c9b3cfa88a45f2c55d4c9147ea1cb4547f4","copied","tracked-original-file","projects\C\Autos sort\task"
"C","Autos sort\test01.txt","80","2021-11-28T23:36:09.6500435Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.3681685Z","533536","5339b340bccbe9ffdb3269a2bc093ef749a7cec14f4030f233771224c6bea4fa","copied","tracked-original-file","projects\C\Autos sort\test01.txt"
